"Interval start","all","ip.addr==10.0.0.8"
"0.000","630","0"
"1.000","420","0"
"2.000","350","0"
"3.000","406","0"
"4.000","406","0"
"5.000","0","0"
"6.000","0","0"
"7.000","87810","87642"
"8.000","1091610","1091610"
"9.000","1254312","1254312"
"10.000","1234440","1234440"
"11.000","1120068","1120068"
"12.000","1135944","1135944"
"13.000","1303386","1303344"
"14.000","1102754","1102572"
"15.000","1238154","1238112"
"16.000","1158882","1158840"
"17.000","1030254","1030212"
"18.000","1049748","1049706"
"19.000","1312045","1311660"
"20.000","1205633","1205388"
"21.000","1241286","1241244"
"22.000","1221846","1221804"
"23.000","1059090","1059048"
"24.000","1054284","1054242"
"25.000","940776","940734"
"26.000","1074534","1074492"
"27.000","1020534","1020492"
"28.000","1129572","1129572"
"29.000","1104072","1104030"
"30.000","1145706","1145664"
"31.000","1175854","1175742"
"32.000","1170492","1170450"
"33.000","1155750","1155708"
"34.000","1166118","1166076"
"35.000","1169736","1169694"
"36.000","1158180","1158138"
"37.000","1137984","1137942"
"38.000","1199922","1199880"
"39.000","1273362","1273320"
"40.000","1247026","1246914"
"41.000","1258512","1258470"
"42.000","1161312","1161270"
"43.000","1040028","1039986"
"44.000","1204922","1204740"
"45.000","1197060","1197018"
"46.000","1171410","1171368"
"47.000","1281504","1281258"
"48.000","1132194","1131948"
"49.000","1141224","1141182"
"50.000","1175806","1175364"
"51.000","1154434","1154196"
"52.000","1248591","1248318"
"53.000","1319836","1319598"
"54.000","1258528","1258416"
"55.000","1197060","1197018"
"56.000","1304034","1303992"
"57.000","1116762","1116720"
"58.000","920052","920052"
"59.000","1144560","1144476"
"60.000","1078842","1078758"
"61.000","1306830","1306746"
"62.000","845832","845748"
"63.000","13260","13176"
"64.000","8616","8532"
"65.000","9426","9342"
"66.000","9102","9018"
"67.000","7644","7560"

