"Interval start","tcp.flags.ack==1","tcp.flags.syn==1","tcp.flags.fin==1","tcp.flags.push==1"
"0.000","0","0","0","0"
"1.000","0","0","0","0"
"2.000","0","0","0","0"
"3.000","0","0","0","0"
"4.000","0","0","0","0"
"5.000","0","0","0","0"
"6.000","0","0","0","0"
"7.000","3348","0","0","0"
"8.000","16632","0","0","0"
"9.000","6102","0","0","0"
"10.000","14364","0","0","0"
"11.000","4050","0","0","0"
"12.000","6102","0","0","0"
"13.000","59940","0","0","0"
"14.000","5454","0","0","0"
"15.000","270","0","0","0"
"16.000","540","0","0","0"
"17.000","108","0","0","0"
"18.000","972","0","0","0"
"19.000","486","0","0","0"
"20.000","0","0","0","0"
"21.000","0","0","0","0"
"22.000","0","0","0","0"
"23.000","0","0","0","0"
"24.000","0","0","0","0"
"25.000","0","0","0","0"
"26.000","0","0","0","0"
"27.000","0","0","0","0"
"28.000","0","0","0","0"
"29.000","108","0","0","0"
"30.000","216","0","0","0"
"31.000","324","0","0","0"
"32.000","162","0","0","0"
"33.000","162","0","0","0"
"34.000","162","0","0","0"
"35.000","108","0","0","0"
"36.000","108","0","0","0"
"37.000","0","0","0","0"
"38.000","0","0","0","0"
"39.000","0","0","0","0"
"40.000","0","0","0","0"
"41.000","0","0","0","0"
"42.000","0","0","0","0"
"43.000","0","0","0","0"
"44.000","0","0","0","0"
"45.000","0","0","0","0"
"46.000","0","0","0","0"
"47.000","0","0","0","0"
"48.000","0","0","0","0"
"49.000","0","0","0","0"
"50.000","0","0","0","0"
"51.000","0","0","0","0"
"52.000","0","0","0","0"
"53.000","0","0","0","0"
"54.000","0","0","0","0"
"55.000","0","0","0","0"
"56.000","0","0","0","0"
"57.000","0","0","0","0"
"58.000","0","0","0","0"
"59.000","0","0","0","0"
"60.000","0","0","0","0"
"61.000","0","0","0","0"
"62.000","108","0","0","0"
"63.000","216","0","0","0"
"64.000","162","0","0","0"
"65.000","162","0","0","0"
"66.000","162","0","0","0"
"67.000","162","0","0","0"

